# Segment tree (bottom-up target delays, SS corner)
# node_delay = cumulative arrival from root at logical node
# fanout==1 FF merged with parent as one logical node
logical_id	name	kind	level	parent	repr_nodes	seg_in_edge_delay	seg_node_delay
96	FF_2004	FF	9	91	96	0.000000	0.376000
97	FF_2005	FF	9	91	97	0.000000	0.376000
98	BUF_1986	BUF	8	90	98	0.063000	0.376000
99	BUF_5809	BUF	9	98	99	0.063000	0.439000
100	FF_5919	FF	10	99	100	0.000000	0.439000
101	FF_5920	FF	10	99	101	0.000000	0.439000
102	FF_5921	FF	10	99	102	0.000000	0.439000
103	FF_5922	FF	10	99	103	0.000000	0.439000
104	FF_5923	FF	10	99	104	0.000000	0.439000
105	BUF_5810	BUF	9	98	105	0.063000	0.439000
106	FF_5924	FF	10	105	106	0.000000	0.439000
107	FF_5925	FF	10	105	107	0.000000	0.439000
108	FF_5926	FF	10	105	108	0.000000	0.439000
109	FF_5927	FF	10	105	109	0.000000	0.439000
110	FF_5928	FF	10	105	110	0.000000	0.439000
111	FF_2006	FF	9	98	111	0.000000	0.376000
112	FF_2007	FF	9	98	112	0.000000	0.376000
113	FF_2008	FF	9	98	113	0.000000	0.376000
114	BUF_1987	BUF	8	90	114	0.063000	0.376000
115	BUF_5811	BUF	9	114	115	0.063000	0.439000
116	FF_5929	FF	10	115	116	0.000000	0.439000
117	FF_5930	FF	10	115	117	0.000000	0.439000
118	FF_5931	FF	10	115	118	0.000000	0.439000
119	BUF_5812	BUF	9	114	119	0.063000	0.439000
120	FF_5932	FF	10	119	120	0.000000	0.439000
121	FF_5933	FF	10	119	121	0.000000	0.439000
122	FF_2009	FF	9	114	122	0.000000	0.376000
123	FF_2010	FF	9	114	123	0.000000	0.376000
124	FF_2011	FF	9	114	124	0.000000	0.376000
125	BUF_1988	BUF	8	90	125	0.063000	0.376000
126	BUF_5813	BUF	9	125	126	0.063000	0.439000
127	FF_5934	FF	10	126	127	0.000000	0.439000
128	FF_5935	FF	10	126	128	0.000000	0.439000
129	FF_5936	FF	10	126	129	0.000000	0.439000
130	FF_5937	FF	10	126	130	0.000000	0.439000
131	FF_5938	FF	10	126	131	0.000000	0.439000
132	BUF_5814	BUF	9	125	132	0.063000	0.439000
133	FF_5939	FF	10	132	133	0.000000	0.439000
134	FF_5940	FF	10	132	134	0.000000	0.439000
135	BUF_5815	BUF	9	125	135	0.063000	0.439000
136	FF_5941	FF	10	135	136	0.000000	0.439000
137	FF_5942	FF	10	135	137	0.000000	0.439000
138	BUF_5816	BUF	9	125	138	0.063000	0.439000
139	FF_5943	FF	10	138	139	0.000000	0.439000
140	FF_5944	FF	10	138	140	0.000000	0.439000
141	FF_5945	FF	10	138	141	0.000000	0.439000
142	FF_2012	FF	9	125	142	0.000000	0.376000
143	BUF_1989	BUF	8	90	143	0.063000	0.376000
144	BUF_5817	BUF	9	143	144	0.063000	0.439000
145	FF_5946	FF	10	144	145	0.000000	0.439000
146	FF_5947	FF	10	144	146	0.000000	0.439000
147	FF_5948	FF	10	144	147	0.000000	0.439000
148	FF_5949	FF	10	144	148	0.000000	0.439000
149	FF_5950	FF	10	144	149	0.000000	0.439000
150	BUF_5818	BUF	9	143	150	0.063000	0.439000
151	FF_5951	FF	10	150	151	0.000000	0.439000
152	FF_5952	FF	10	150	152	0.000000	0.439000
153	BUF_5819+FF_5953	BUF+FF	9	143	153+154	0.063000	0.439000
155	BUF_5820	BUF	9	143	155	0.063000	0.439000
156	FF_5954	FF	10	155	156	0.000000	0.439000
157	FF_5955	FF	10	155	157	0.000000	0.439000
158	FF_5956	FF	10	155	158	0.000000	0.439000
159	BUF_5821	BUF	9	143	159	0.063000	0.439000
160	FF_5957	FF	10	159	160	0.000000	0.439000
161	FF_5958	FF	10	159	161	0.000000	0.439000
162	FF_5959	FF	10	159	162	0.000000	0.439000
163	FF_5960	FF	10	159	163	0.000000	0.439000
164	BUF_676	BUF	7	89	164	0.063000	0.313000
165	BUF_1990	BUF	8	164	165	0.039000	0.352000
166	BUF_5822	BUF	9	165	166	0.063000	0.415000
167	FF_5961	FF	10	166	167	0.000000	0.415000
168	FF_5962	FF	10	166	168	0.000000	0.415000
169	FF_5963	FF	10	166	169	0.000000	0.415000
170	BUF_5823	BUF	9	165	170	0.063000	0.415000
171	FF_5964	FF	10	170	171	0.000000	0.415000
172	FF_5965	FF	10	170	172	0.000000	0.415000
173	BUF_5824+FF_5966	BUF+FF	9	165	173+174	0.063000	0.415000
175	BUF_5825+FF_5967	BUF+FF	9	165	175+176	0.063000	0.415000
177	FF_2013	FF	9	165	177	0.000000	0.352000
178	BUF_1991	BUF	8	164	178	0.039000	0.352000
179	BUF_5826	BUF	9	178	179	0.063000	0.415000
180	FF_5968	FF	10	179	180	0.000000	0.415000
181	FF_5969	FF	10	179	181	0.000000	0.415000
182	FF_5970	FF	10	179	182	0.000000	0.415000
183	BUF_5827	BUF	9	178	183	0.063000	0.415000
184	FF_5971	FF	10	183	184	0.000000	0.415000
185	FF_5972	FF	10	183	185	0.000000	0.415000
186	BUF_5828	BUF	9	178	186	0.063000	0.415000
187	FF_5973	FF	10	186	187	0.000000	0.415000
188	FF_5974	FF	10	186	188	0.000000	0.415000
189	FF_5975	FF	10	186	189	0.000000	0.415000
190	FF_5976	FF	10	186	190	0.000000	0.415000
191	FF_5977	FF	10	186	191	0.000000	0.415000
192	BUF_5829	BUF	9	178	192	0.063000	0.415000
193	FF_5978	FF	10	192	193	0.000000	0.415000
194	FF_5979	FF	10	192	194	0.000000	0.415000
195	FF_2014	FF	9	178	195	0.000000	0.352000
196	BUF_1992	BUF	8	164	196	0.039000	0.352000
197	BUF_5830	BUF	9	196	197	0.063000	0.415000
198	FF_5980	FF	10	197	198	0.000000	0.415000
199	FF_5981	FF	10	197	199	0.000000	0.415000
200	BUF_5831	BUF	9	196	200	0.063000	0.415000
201	FF_5982	FF	10	200	201	0.000000	0.415000
202	FF_5983	FF	10	200	202	0.000000	0.415000
203	BUF_5832	BUF	9	196	203	0.063000	0.415000
204	FF_5984	FF	10	203	204	0.000000	0.415000
205	FF_5985	FF	10	203	205	0.000000	0.415000
206	FF_5986	FF	10	203	206	0.000000	0.415000
207	FF_5987	FF	10	203	207	0.000000	0.415000
208	BUF_5833	BUF	9	196	208	0.063000	0.415000
209	FF_5988	FF	10	208	209	0.000000	0.415000
210	FF_5989	FF	10	208	210	0.000000	0.415000
211	FF_5990	FF	10	208	211	0.000000	0.415000
212	FF_5991	FF	10	208	212	0.000000	0.415000
213	BUF_5834	BUF	9	196	213	0.063000	0.415000
214	FF_5992	FF	10	213	214	0.000000	0.415000
215	FF_5993	FF	10	213	215	0.000000	0.415000
216	FF_5994	FF	10	213	216	0.000000	0.415000
217	FF_677	FF	8	164	217	0.000000	0.313000
218	BUF_677	BUF	7	89	218	0.063000	0.313000
219	BUF_1993	BUF	8	218	219	0.020000	0.333000
220	BUF_5835	BUF	9	219	220	0.005000	0.338000
221	FF_5995	FF	10	220	221	0.000000	0.338000
222	FF_5996	FF	10	220	222	0.000000	0.338000
223	FF_5997	FF	10	220	223	0.000000	0.338000
224	FF_5998	FF	10	220	224	0.000000	0.338000
225	FF_5999	FF	10	220	225	0.000000	0.338000
226	BUF_1994	BUF	8	218	226	0.020000	0.333000
227	BUF_5836	BUF	9	226	227	0.063000	0.396000
228	FF_6000	FF	10	227	228	0.000000	0.396000
229	FF_6001	FF	10	227	229	0.000000	0.396000
230	FF_6002	FF	10	227	230	0.000000	0.396000
231	FF_6003	FF	10	227	231	0.000000	0.396000
232	FF_6004	FF	10	227	232	0.000000	0.396000
233	BUF_5837	BUF	9	226	233	0.063000	0.396000
234	FF_6005	FF	10	233	234	0.000000	0.396000
235	FF_6006	FF	10	233	235	0.000000	0.396000
236	FF_6007	FF	10	233	236	0.000000	0.396000
237	FF_6008	FF	10	233	237	0.000000	0.396000
238	FF_6009	FF	10	233	238	0.000000	0.396000
239	BUF_5838	BUF	9	226	239	0.063000	0.396000
240	FF_6010	FF	10	239	240	0.000000	0.396000
241	FF_6011	FF	10	239	241	0.000000	0.396000
242	BUF_5839	BUF	9	226	242	0.063000	0.396000
243	FF_6012	FF	10	242	243	0.000000	0.396000
244	FF_6013	FF	10	242	244	0.000000	0.396000
245	FF_6014	FF	10	242	245	0.000000	0.396000
246	FF_6015	FF	10	242	246	0.000000	0.396000
247	FF_6016	FF	10	242	247	0.000000	0.396000
248	FF_2015	FF	9	226	248	0.000000	0.333000
249	FF_678	FF	8	218	249	0.000000	0.313000
250	BUF_678	BUF	7	89	250	0.063000	0.313000
251	BUF_1995	BUF	8	250	251	0.063000	0.376000
252	BUF_5840	BUF	9	251	252	0.063000	0.439000
253	FF_6017	FF	10	252	253	0.000000	0.439000
254	FF_6018	FF	10	252	254	0.000000	0.439000
255	FF_6019	FF	10	252	255	0.000000	0.439000
256	FF_6020	FF	10	252	256	0.000000	0.439000
257	BUF_5841	BUF	9	251	257	0.063000	0.439000
258	FF_6021	FF	10	257	258	0.000000	0.439000
259	FF_6022	FF	10	257	259	0.000000	0.439000
260	FF_6023	FF	10	257	260	0.000000	0.439000
261	BUF_5842	BUF	9	251	261	0.063000	0.439000
262	FF_6024	FF	10	261	262	0.000000	0.439000
263	FF_6025	FF	10	261	263	0.000000	0.439000
264	BUF_5843+FF_6026	BUF+FF	9	251	264+265	0.063000	0.439000
266	BUF_5844	BUF	9	251	266	0.063000	0.439000
267	FF_6027	FF	10	266	267	0.000000	0.439000
268	FF_6028	FF	10	266	268	0.000000	0.439000
269	FF_6029	FF	10	266	269	0.000000	0.439000
270	FF_6030	FF	10	266	270	0.000000	0.439000
271	FF_6031	FF	10	266	271	0.000000	0.439000
272	BUF_1996	BUF	8	250	272	0.063000	0.376000
273	BUF_5845	BUF	9	272	273	0.020000	0.396000
274	FF_6032	FF	10	273	274	0.000000	0.396000
275	FF_6033	FF	10	273	275	0.000000	0.396000
276	FF_2016	FF	9	272	276	0.000000	0.376000
277	FF_2017	FF	9	272	277	0.000000	0.376000
278	FF_679	FF	8	250	278	0.000000	0.313000
279	FF_680	FF	8	250	279	0.000000	0.313000
280	FF_681	FF	8	250	280	0.000000	0.313000
281	FF_230	FF	7	89	281	0.000000	0.250000
282	BUF_84	BUF	5	4	282	0.063000	0.239000
283	BUF_237	BUF	6	282	283	0.020000	0.259000
284	BUF_679	BUF	7	283	284	0.063000	0.322000
285	BUF_1997	BUF	8	284	285	0.063000	0.385000
286	BUF_5846	BUF	9	285	286	0.063000	0.448000
287	FF_6034	FF	10	286	287	0.000000	0.448000
288	FF_6035	FF	10	286	288	0.000000	0.448000
289	FF_6036	FF	10	286	289	0.000000	0.448000
290	FF_6037	FF	10	286	290	0.000000	0.448000
291	BUF_5847	BUF	9	285	291	0.063000	0.448000
292	FF_6038	FF	10	291	292	0.000000	0.448000
293	FF_6039	FF	10	291	293	0.000000	0.448000
294	FF_6040	FF	10	291	294	0.000000	0.448000
295	BUF_5848	BUF	9	285	295	0.063000	0.448000
296	FF_6041	FF	10	295	296	0.000000	0.448000
297	FF_6042	FF	10	295	297	0.000000	0.448000
298	FF_6043	FF	10	295	298	0.000000	0.448000
299	FF_6044	FF	10	295	299	0.000000	0.448000
300	FF_6045	FF	10	295	300	0.000000	0.448000
301	BUF_5849+FF_6046	BUF+FF	9	285	301+302	0.063000	0.448000
303	BUF_5850	BUF	9	285	303	0.063000	0.448000
304	FF_6047	FF	10	303	304	0.000000	0.448000
305	FF_6048	FF	10	303	305	0.000000	0.448000
306	FF_6049	FF	10	303	306	0.000000	0.448000
307	FF_6050	FF	10	303	307	0.000000	0.448000
308	FF_6051	FF	10	303	308	0.000000	0.448000
309	BUF_1998	BUF	8	284	309	0.063000	0.385000
310	BUF_5851	BUF	9	309	310	0.011000	0.396000
311	FF_6052	FF	10	310	311	0.000000	0.396000
312	FF_6053	FF	10	310	312	0.000000	0.396000
313	BUF_5852	BUF	9	309	313	0.011000	0.396000
314	FF_6054	FF	10	313	314	0.000000	0.396000
315	FF_6055	FF	10	313	315	0.000000	0.396000
316	FF_6056	FF	10	313	316	0.000000	0.396000
317	BUF_1999	BUF	8	284	317	0.063000	0.385000
318	BUF_5853	BUF	9	317	318	0.063000	0.448000
319	FF_6057	FF	10	318	319	0.000000	0.448000
320	FF_6058	FF	10	318	320	0.000000	0.448000
321	FF_6059	FF	10	318	321	0.000000	0.448000
322	BUF_5854+FF_6060	BUF+FF	9	317	322+323	0.063000	0.448000
324	BUF_5855	BUF	9	317	324	0.063000	0.448000
325	FF_6061	FF	10	324	325	0.000000	0.448000
326	FF_6062	FF	10	324	326	0.000000	0.448000
327	FF_6063	FF	10	324	327	0.000000	0.448000
328	BUF_5856	BUF	9	317	328	0.063000	0.448000
329	FF_6064	FF	10	328	329	0.000000	0.448000
330	FF_6065	FF	10	328	330	0.000000	0.448000
331	BUF_5857	BUF	9	317	331	0.063000	0.448000
332	FF_6066	FF	10	331	332	0.000000	0.448000
333	FF_6067	FF	10	331	333	0.000000	0.448000
334	BUF_2000	BUF	8	284	334	0.063000	0.385000
335	BUF_5858+FF_6068	BUF+FF	9	334	335+336	0.063000	0.448000
337	BUF_5859	BUF	9	334	337	0.063000	0.448000
338	FF_6069	FF	10	337	338	0.000000	0.448000
339	FF_6070	FF	10	337	339	0.000000	0.448000
340	FF_6071	FF	10	337	340	0.000000	0.448000
341	FF_6072	FF	10	337	341	0.000000	0.448000
342	FF_6073	FF	10	337	342	0.000000	0.448000
343	BUF_5860	BUF	9	334	343	0.063000	0.448000
344	FF_6074	FF	10	343	344	0.000000	0.448000
345	FF_6075	FF	10	343	345	0.000000	0.448000
346	FF_6076	FF	10	343	346	0.000000	0.448000
347	BUF_5861	BUF	9	334	347	0.063000	0.448000
348	FF_6077	FF	10	347	348	0.000000	0.448000
349	FF_6078	FF	10	347	349	0.000000	0.448000
350	FF_6079	FF	10	347	350	0.000000	0.448000
351	FF_6080	FF	10	347	351	0.000000	0.448000
352	FF_2018	FF	9	334	352	0.000000	0.385000
353	BUF_2001	BUF	8	284	353	0.063000	0.385000
354	BUF_5862	BUF	9	353	354	0.011000	0.396000
355	FF_6081	FF	10	354	355	0.000000	0.396000
356	FF_6082	FF	10	354	356	0.000000	0.396000
357	FF_6083	FF	10	354	357	0.000000	0.396000
358	FF_6084	FF	10	354	358	0.000000	0.396000
359	FF_6085	FF	10	354	359	0.000000	0.396000
360	BUF_5863	BUF	9	353	360	0.011000	0.396000
361	FF_6086	FF	10	360	361	0.000000	0.396000
362	FF_6087	FF	10	360	362	0.000000	0.396000
363	FF_6088	FF	10	360	363	0.000000	0.396000
364	BUF_680	BUF	7	283	364	0.063000	0.322000
365	BUF_2002	BUF	8	364	365	0.063000	0.385000
366	BUF_5864	BUF	9	365	366	0.063000	0.448000
367	FF_6089	FF	10	366	367	0.000000	0.448000
368	FF_6090	FF	10	366	368	0.000000	0.448000
369	BUF_5865	BUF	9	365	369	0.063000	0.448000
370	FF_6091	FF	10	369	370	0.000000	0.448000
371	FF_6092	FF	10	369	371	0.000000	0.448000
372	FF_6093	FF	10	369	372	0.000000	0.448000
373	FF_6094	FF	10	369	373	0.000000	0.448000
374	FF_6095	FF	10	369	374	0.000000	0.448000
375	FF_2019	FF	9	365	375	0.000000	0.385000
376	FF_2020	FF	9	365	376	0.000000	0.385000
377	FF_2021	FF	9	365	377	0.000000	0.385000
378	BUF_2003	BUF	8	364	378	0.063000	0.385000
379	BUF_5866	BUF	9	378	379	0.063000	0.448000
380	FF_6096	FF	10	379	380	0.000000	0.448000
381	FF_6097	FF	10	379	381	0.000000	0.448000
382	FF_6098	FF	10	379	382	0.000000	0.448000
383	FF_6099	FF	10	379	383	0.000000	0.448000
384	FF_6100	FF	10	379	384	0.000000	0.448000
385	BUF_5867	BUF	9	378	385	0.063000	0.448000
386	FF_6101	FF	10	385	386	0.000000	0.448000
387	FF_6102	FF	10	385	387	0.000000	0.448000
388	FF_6103	FF	10	385	388	0.000000	0.448000
389	FF_6104	FF	10	385	389	0.000000	0.448000
390	BUF_5868	BUF	9	378	390	0.063000	0.448000
391	FF_6105	FF	10	390	391	0.000000	0.448000
392	FF_6106	FF	10	390	392	0.000000	0.448000
393	BUF_5869	BUF	9	378	393	0.063000	0.448000
394	FF_6107	FF	10	393	394	0.000000	0.448000
395	FF_6108	FF	10	393	395	0.000000	0.448000
396	FF_6109	FF	10	393	396	0.000000	0.448000
397	FF_6110	FF	10	393	397	0.000000	0.448000
398	BUF_5870+FF_6111	BUF+FF	9	378	398+399	0.063000	0.448000
400	BUF_2004	BUF	8	364	400	0.063000	0.385000
401	BUF_5871	BUF	9	400	401	0.063000	0.448000
402	FF_6112	FF	10	401	402	0.000000	0.448000
403	FF_6113	FF	10	401	403	0.000000	0.448000
404	BUF_5872	BUF	9	400	404	0.063000	0.448000
405	FF_6114	FF	10	404	405	0.000000	0.448000
406	FF_6115	FF	10	404	406	0.000000	0.448000
407	FF_6116	FF	10	404	407	0.000000	0.448000
408	BUF_5873	BUF	9	400	408	0.063000	0.448000
409	FF_6117	FF	10	408	409	0.000000	0.448000
410	FF_6118	FF	10	408	410	0.000000	0.448000
411	FF_6119	FF	10	408	411	0.000000	0.448000
412	FF_6120	FF	10	408	412	0.000000	0.448000
413	BUF_5874	BUF	9	400	413	0.063000	0.448000
414	FF_6121	FF	10	413	414	0.000000	0.448000
415	FF_6122	FF	10	413	415	0.000000	0.448000
416	FF_6123	FF	10	413	416	0.000000	0.448000
417	FF_6124	FF	10	413	417	0.000000	0.448000
418	FF_6125	FF	10	413	418	0.000000	0.448000
419	FF_2022	FF	9	400	419	0.000000	0.385000
420	BUF_2005	BUF	8	364	420	0.063000	0.385000
421	BUF_5875	BUF	9	420	421	0.063000	0.448000
422	FF_6126	FF	10	421	422	0.000000	0.448000
423	FF_6127	FF	10	421	423	0.000000	0.448000
424	FF_6128	FF	10	421	424	0.000000	0.448000
425	FF_6129	FF	10	421	425	0.000000	0.448000
426	FF_6130	FF	10	421	426	0.000000	0.448000
427	BUF_5876	BUF	9	420	427	0.063000	0.448000
428	FF_6131	FF	10	427	428	0.000000	0.448000
429	FF_6132	FF	10	427	429	0.000000	0.448000
430	BUF_5877	BUF	9	420	430	0.063000	0.448000
431	FF_6133	FF	10	430	431	0.000000	0.448000
432	FF_6134	FF	10	430	432	0.000000	0.448000
433	FF_6135	FF	10	430	433	0.000000	0.448000
434	FF_2023	FF	9	420	434	0.000000	0.385000
435	FF_2024	FF	9	420	435	0.000000	0.385000
436	FF_682	FF	8	364	436	0.000000	0.322000
437	BUF_681	BUF	7	283	437	0.063000	0.322000
438	BUF_2006	BUF	8	437	438	0.039000	0.361000
439	BUF_5878	BUF	9	438	439	0.011000	0.372000
440	FF_6136	FF	10	439	440	0.000000	0.372000
441	FF_6137	FF	10	439	441	0.000000	0.372000
442	FF_6138	FF	10	439	442	0.000000	0.372000
443	FF_6139	FF	10	439	443	0.000000	0.372000
444	FF_6140	FF	10	439	444	0.000000	0.372000
445	FF_2025	FF	9	438	445	0.000000	0.361000
446	BUF_2007	BUF	8	437	446	0.039000	0.361000
447	BUF_5879	BUF	9	446	447	0.039000	0.400000
448	FF_6141	FF	10	447	448	0.000000	0.400000
449	FF_6142	FF	10	447	449	0.000000	0.400000
450	FF_6143	FF	10	447	450	0.000000	0.400000
451	FF_6144	FF	10	447	451	0.000000	0.400000
452	BUF_5880	BUF	9	446	452	0.039000	0.400000
453	FF_6145	FF	10	452	453	0.000000	0.400000
454	FF_6146	FF	10	452	454	0.000000	0.400000
455	FF_6147	FF	10	452	455	0.000000	0.400000
456	BUF_5881+FF_6148	BUF+FF	9	446	456+457	0.039000	0.400000
458	FF_2026	FF	9	446	458	0.000000	0.361000
459	FF_683	FF	8	437	459	0.000000	0.322000
460	FF_684	FF	8	437	460	0.000000	0.322000
461	FF_231	FF	7	283	461	0.000000	0.259000
462	FF_232	FF	7	283	462	0.000000	0.259000
463	BUF_238	BUF	6	282	463	0.020000	0.259000
464	BUF_682	BUF	7	463	464	0.039000	0.298000
465	BUF_2008	BUF	8	464	465	0.039000	0.337000
466	BUF_5882	BUF	9	465	466	0.063000	0.400000
467	FF_6149	FF	10	466	467	0.000000	0.400000
468	FF_6150	FF	10	466	468	0.000000	0.400000
469	FF_6151	FF	10	466	469	0.000000	0.400000
470	FF_6152	FF	10	466	470	0.000000	0.400000
471	FF_6153	FF	10	466	471	0.000000	0.400000
472	BUF_5883	BUF	9	465	472	0.063000	0.400000
473	FF_6154	FF	10	472	473	0.000000	0.400000
474	FF_6155	FF	10	472	474	0.000000	0.400000
475	FF_6156	FF	10	472	475	0.000000	0.400000
476	FF_6157	FF	10	472	476	0.000000	0.400000
477	BUF_5884	BUF	9	465	477	0.063000	0.400000
478	FF_6158	FF	10	477	478	0.000000	0.400000
479	FF_6159	FF	10	477	479	0.000000	0.400000
480	FF_6160	FF	10	477	480	0.000000	0.400000
481	FF_6161	FF	10	477	481	0.000000	0.400000
482	FF_6162	FF	10	477	482	0.000000	0.400000
483	BUF_5885	BUF	9	465	483	0.063000	0.400000
484	FF_6163	FF	10	483	484	0.000000	0.400000
485	FF_6164	FF	10	483	485	0.000000	0.400000
486	FF_6165	FF	10	483	486	0.000000	0.400000
487	FF_6166	FF	10	483	487	0.000000	0.400000
488	FF_6167	FF	10	483	488	0.000000	0.400000
489	BUF_5886+FF_6168	BUF+FF	9	465	489+490	0.063000	0.400000
491	FF_685	FF	8	464	491	0.000000	0.298000
492	FF_686	FF	8	464	492	0.000000	0.298000
493	FF_687	FF	8	464	493	0.000000	0.298000
494	BUF_683	BUF	7	463	494	0.039000	0.298000
495	BUF_2009	BUF	8	494	495	0.020000	0.318000
496	BUF_5887	BUF	9	495	496	0.039000	0.357000
497	FF_6169	FF	10	496	497	0.000000	0.357000
498	FF_6170	FF	10	496	498	0.000000	0.357000
499	FF_6171	FF	10	496	499	0.000000	0.357000
500	FF_6172	FF	10	496	500	0.000000	0.357000
501	FF_6173	FF	10	496	501	0.000000	0.357000
502	BUF_5888	BUF	9	495	502	0.039000	0.357000
503	FF_6174	FF	10	502	503	0.000000	0.357000
504	FF_6175	FF	10	502	504	0.000000	0.357000
505	FF_6176	FF	10	502	505	0.000000	0.357000
506	FF_6177	FF	10	502	506	0.000000	0.357000
507	BUF_5889	BUF	9	495	507	0.039000	0.357000
508	FF_6178	FF	10	507	508	0.000000	0.357000
