ff_lp_idx	ff_node_id	ff_name	step	branch_idx	parent	child
13	24	FF_221	2	27	BUF_21	BUF_72
13	24	FF_221	3	10	BUF_5	BUF_21
13	24	FF_221	4	5	BUF_0	BUF_5
13	24	FF_221	5	0	ROOT_CLK	BUF_0
14	26	FF_222	0	40	BUF_221	FF_222
14	26	FF_222	1	33	BUF_72	BUF_221
14	26	FF_222	2	27	BUF_21	BUF_72
14	26	FF_222	3	10	BUF_5	BUF_21
14	26	FF_222	4	5	BUF_0	BUF_5
14	26	FF_222	5	0	ROOT_CLK	BUF_0
15	27	FF_223	0	41	BUF_221	FF_223
15	27	FF_223	1	33	BUF_72	BUF_221
15	27	FF_223	2	27	BUF_21	BUF_72
15	27	FF_223	3	10	BUF_5	BUF_21
15	27	FF_223	4	5	BUF_0	BUF_5
15	27	FF_223	5	0	ROOT_CLK	BUF_0
16	28	FF_224	0	42	BUF_221	FF_224
16	28	FF_224	1	33	BUF_72	BUF_221
16	28	FF_224	2	27	BUF_21	BUF_72
16	28	FF_224	3	10	BUF_5	BUF_21
16	28	FF_224	4	5	BUF_0	BUF_5
16	28	FF_224	5	0	ROOT_CLK	BUF_0
17	30	FF_225	0	43	BUF_222	FF_225
17	30	FF_225	1	34	BUF_72	BUF_222
17	30	FF_225	2	27	BUF_21	BUF_72
17	30	FF_225	3	10	BUF_5	BUF_21
17	30	FF_225	4	5	BUF_0	BUF_5
17	30	FF_225	5	0	ROOT_CLK	BUF_0
18	31	FF_226	0	44	BUF_222	FF_226
18	31	FF_226	1	34	BUF_72	BUF_222
18	31	FF_226	2	27	BUF_21	BUF_72
18	31	FF_226	3	10	BUF_5	BUF_21
18	31	FF_226	4	5	BUF_0	BUF_5
18	31	FF_226	5	0	ROOT_CLK	BUF_0
19	32	FF_227	0	45	BUF_222	FF_227
19	32	FF_227	1	34	BUF_72	BUF_222
19	32	FF_227	2	27	BUF_21	BUF_72
19	32	FF_227	3	10	BUF_5	BUF_21
19	32	FF_227	4	5	BUF_0	BUF_5
19	32	FF_227	5	0	ROOT_CLK	BUF_0
20	34	FF_228	0	46	BUF_223	FF_228
20	34	FF_228	1	35	BUF_72	BUF_223
20	34	FF_228	2	27	BUF_21	BUF_72
20	34	FF_228	3	10	BUF_5	BUF_21
20	34	FF_228	4	5	BUF_0	BUF_5
20	34	FF_228	5	0	ROOT_CLK	BUF_0
21	37	FF_229	0	52	BUF_224	FF_229
21	37	FF_229	1	47	BUF_73	BUF_224
21	37	FF_229	2	28	BUF_21	BUF_73
21	37	FF_229	3	10	BUF_5	BUF_21
21	37	FF_229	4	5	BUF_0	BUF_5
21	37	FF_229	5	0	ROOT_CLK	BUF_0
22	38	FF_230	0	53	BUF_224	FF_230
22	38	FF_230	1	47	BUF_73	BUF_224
22	38	FF_230	2	28	BUF_21	BUF_73
22	38	FF_230	3	10	BUF_5	BUF_21
22	38	FF_230	4	5	BUF_0	BUF_5
22	38	FF_230	5	0	ROOT_CLK	BUF_0
23	39	FF_231	0	54	BUF_224	FF_231
23	39	FF_231	1	47	BUF_73	BUF_224
23	39	FF_231	2	28	BUF_21	BUF_73
23	39	FF_231	3	10	BUF_5	BUF_21
23	39	FF_231	4	5	BUF_0	BUF_5
23	39	FF_231	5	0	ROOT_CLK	BUF_0
24	40	FF_232	0	55	BUF_224	FF_232
24	40	FF_232	1	47	BUF_73	BUF_224
24	40	FF_232	2	28	BUF_21	BUF_73
24	40	FF_232	3	10	BUF_5	BUF_21
24	40	FF_232	4	5	BUF_0	BUF_5
24	40	FF_232	5	0	ROOT_CLK	BUF_0
25	41	FF_233	0	56	BUF_224	FF_233
25	41	FF_233	1	47	BUF_73	BUF_224
25	41	FF_233	2	28	BUF_21	BUF_73
25	41	FF_233	3	10	BUF_5	BUF_21
25	41	FF_233	4	5	BUF_0	BUF_5
25	41	FF_233	5	0	ROOT_CLK	BUF_0
26	42	FF_71	0	48	BUF_73	FF_71
26	42	FF_71	1	28	BUF_21	BUF_73
26	42	FF_71	2	10	BUF_5	BUF_21
26	42	FF_71	3	5	BUF_0	BUF_5
26	42	FF_71	4	0	ROOT_CLK	BUF_0
27	43	FF_72	0	49	BUF_73	FF_72
27	43	FF_72	1	28	BUF_21	BUF_73
27	43	FF_72	2	10	BUF_5	BUF_21
27	43	FF_72	3	5	BUF_0	BUF_5
27	43	FF_72	4	0	ROOT_CLK	BUF_0
28	44	FF_73	0	50	BUF_73	FF_73
28	44	FF_73	1	28	BUF_21	BUF_73
28	44	FF_73	2	10	BUF_5	BUF_21
28	44	FF_73	3	5	BUF_0	BUF_5
28	44	FF_73	4	0	ROOT_CLK	BUF_0
29	45	FF_74	0	51	BUF_73	FF_74
29	45	FF_74	1	28	BUF_21	BUF_73
29	45	FF_74	2	10	BUF_5	BUF_21
29	45	FF_74	3	5	BUF_0	BUF_5
29	45	FF_74	4	0	ROOT_CLK	BUF_0
30	48	FF_234	0	61	BUF_225	FF_234
30	48	FF_234	1	57	BUF_74	BUF_225
30	48	FF_234	2	29	BUF_21	BUF_74
30	48	FF_234	3	10	BUF_5	BUF_21
30	48	FF_234	4	5	BUF_0	BUF_5
30	48	FF_234	5	0	ROOT_CLK	BUF_0
31	49	FF_235	0	62	BUF_225	FF_235
31	49	FF_235	1	57	BUF_74	BUF_225
31	49	FF_235	2	29	BUF_21	BUF_74
31	49	FF_235	3	10	BUF_5	BUF_21
31	49	FF_235	4	5	BUF_0	BUF_5
31	49	FF_235	5	0	ROOT_CLK	BUF_0
32	50	FF_236	0	63	BUF_225	FF_236
32	50	FF_236	1	57	BUF_74	BUF_225
32	50	FF_236	2	29	BUF_21	BUF_74
32	50	FF_236	3	10	BUF_5	BUF_21
32	50	FF_236	4	5	BUF_0	BUF_5
32	50	FF_236	5	0	ROOT_CLK	BUF_0
33	51	FF_237	0	64	BUF_225	FF_237
33	51	FF_237	1	57	BUF_74	BUF_225
33	51	FF_237	2	29	BUF_21	BUF_74
33	51	FF_237	3	10	BUF_5	BUF_21
33	51	FF_237	4	5	BUF_0	BUF_5
33	51	FF_237	5	0	ROOT_CLK	BUF_0
34	52	FF_238	0	65	BUF_225	FF_238
34	52	FF_238	1	57	BUF_74	BUF_225
34	52	FF_238	2	29	BUF_21	BUF_74
34	52	FF_238	3	10	BUF_5	BUF_21
34	52	FF_238	4	5	BUF_0	BUF_5
34	52	FF_238	5	0	ROOT_CLK	BUF_0
35	54	FF_239	0	66	BUF_226	FF_239
35	54	FF_239	1	58	BUF_74	BUF_226
35	54	FF_239	2	29	BUF_21	BUF_74
35	54	FF_239	3	10	BUF_5	BUF_21
35	54	FF_239	4	5	BUF_0	BUF_5
35	54	FF_239	5	0	ROOT_CLK	BUF_0
36	55	FF_240	0	67	BUF_226	FF_240
36	55	FF_240	1	58	BUF_74	BUF_226
36	55	FF_240	2	29	BUF_21	BUF_74
36	55	FF_240	3	10	BUF_5	BUF_21
36	55	FF_240	4	5	BUF_0	BUF_5
36	55	FF_240	5	0	ROOT_CLK	BUF_0
37	56	FF_241	0	68	BUF_226	FF_241
37	56	FF_241	1	58	BUF_74	BUF_226
37	56	FF_241	2	29	BUF_21	BUF_74
37	56	FF_241	3	10	BUF_5	BUF_21
37	56	FF_241	4	5	BUF_0	BUF_5
37	56	FF_241	5	0	ROOT_CLK	BUF_0
38	57	FF_242	0	69	BUF_226	FF_242
38	57	FF_242	1	58	BUF_74	BUF_226
38	57	FF_242	2	29	BUF_21	BUF_74
38	57	FF_242	3	10	BUF_5	BUF_21
38	57	FF_242	4	5	BUF_0	BUF_5
38	57	FF_242	5	0	ROOT_CLK	BUF_0
39	58	FF_243	0	70	BUF_226	FF_243
39	58	FF_243	1	58	BUF_74	BUF_226
39	58	FF_243	2	29	BUF_21	BUF_74
39	58	FF_243	3	10	BUF_5	BUF_21
39	58	FF_243	4	5	BUF_0	BUF_5
39	58	FF_243	5	0	ROOT_CLK	BUF_0
40	60	FF_244	0	71	BUF_227	FF_244
40	60	FF_244	1	59	BUF_74	BUF_227
40	60	FF_244	2	29	BUF_21	BUF_74
40	60	FF_244	3	10	BUF_5	BUF_21
40	60	FF_244	4	5	BUF_0	BUF_5
40	60	FF_244	5	0	ROOT_CLK	BUF_0
41	62	FF_245	0	72	BUF_228	FF_245
41	62	FF_245	1	60	BUF_74	BUF_228
41	62	FF_245	2	29	BUF_21	BUF_74
41	62	FF_245	3	10	BUF_5	BUF_21
41	62	FF_245	4	5	BUF_0	BUF_5
41	62	FF_245	5	0	ROOT_CLK	BUF_0
42	63	FF_19	0	30	BUF_21	FF_19
42	63	FF_19	1	10	BUF_5	BUF_21
42	63	FF_19	2	5	BUF_0	BUF_5
42	63	FF_19	3	0	ROOT_CLK	BUF_0
43	67	FF_246	0	81	BUF_229	FF_246
43	67	FF_246	1	78	BUF_75	BUF_229
43	67	FF_246	2	73	BUF_22	BUF_75
43	67	FF_246	3	11	BUF_5	BUF_22
43	67	FF_246	4	5	BUF_0	BUF_5
43	67	FF_246	5	0	ROOT_CLK	BUF_0
44	68	FF_247	0	82	BUF_229	FF_247
44	68	FF_247	1	78	BUF_75	BUF_229
44	68	FF_247	2	73	BUF_22	BUF_75
44	68	FF_247	3	11	BUF_5	BUF_22
44	68	FF_247	4	5	BUF_0	BUF_5
44	68	FF_247	5	0	ROOT_CLK	BUF_0
45	69	FF_248	0	83	BUF_229	FF_248
45	69	FF_248	1	78	BUF_75	BUF_229
45	69	FF_248	2	73	BUF_22	BUF_75
45	69	FF_248	3	11	BUF_5	BUF_22
45	69	FF_248	4	5	BUF_0	BUF_5
45	69	FF_248	5	0	ROOT_CLK	BUF_0
46	71	FF_249	0	84	BUF_230	FF_249
46	71	FF_249	1	79	BUF_75	BUF_230
46	71	FF_249	2	73	BUF_22	BUF_75
46	71	FF_249	3	11	BUF_5	BUF_22
46	71	FF_249	4	5	BUF_0	BUF_5
46	71	FF_249	5	0	ROOT_CLK	BUF_0
47	73	FF_250	0	85	BUF_231	FF_250
47	73	FF_250	1	80	BUF_75	BUF_231
47	73	FF_250	2	73	BUF_22	BUF_75
47	73	FF_250	3	11	BUF_5	BUF_22
47	73	FF_250	4	5	BUF_0	BUF_5
47	73	FF_250	5	0	ROOT_CLK	BUF_0
48	76	FF_251	0	89	BUF_232	FF_251
48	76	FF_251	1	86	BUF_76	BUF_232
48	76	FF_251	2	74	BUF_22	BUF_76
48	76	FF_251	3	11	BUF_5	BUF_22
48	76	FF_251	4	5	BUF_0	BUF_5
48	76	FF_251	5	0	ROOT_CLK	BUF_0
49	77	FF_252	0	90	BUF_232	FF_252
49	77	FF_252	1	86	BUF_76	BUF_232
49	77	FF_252	2	74	BUF_22	BUF_76
49	77	FF_252	3	11	BUF_5	BUF_22
49	77	FF_252	4	5	BUF_0	BUF_5
49	77	FF_252	5	0	ROOT_CLK	BUF_0
50	78	FF_253	0	91	BUF_232	FF_253
50	78	FF_253	1	86	BUF_76	BUF_232
50	78	FF_253	2	74	BUF_22	BUF_76
50	78	FF_253	3	11	BUF_5	BUF_22
50	78	FF_253	4	5	BUF_0	BUF_5
50	78	FF_253	5	0	ROOT_CLK	BUF_0
51	79	FF_254	0	92	BUF_232	FF_254
51	79	FF_254	1	86	BUF_76	BUF_232
51	79	FF_254	2	74	BUF_22	BUF_76
51	79	FF_254	3	11	BUF_5	BUF_22
51	79	FF_254	4	5	BUF_0	BUF_5
51	79	FF_254	5	0	ROOT_CLK	BUF_0
52	81	FF_255	0	93	BUF_233	FF_255
52	81	FF_255	1	87	BUF_76	BUF_233
52	81	FF_255	2	74	BUF_22	BUF_76
52	81	FF_255	3	11	BUF_5	BUF_22
52	81	FF_255	4	5	BUF_0	BUF_5
52	81	FF_255	5	0	ROOT_CLK	BUF_0
53	82	FF_256	0	94	BUF_233	FF_256
53	82	FF_256	1	87	BUF_76	BUF_233
53	82	FF_256	2	74	BUF_22	BUF_76
53	82	FF_256	3	11	BUF_5	BUF_22
53	82	FF_256	4	5	BUF_0	BUF_5
53	82	FF_256	5	0	ROOT_CLK	BUF_0
54	83	FF_257	0	95	BUF_233	FF_257
54	83	FF_257	1	87	BUF_76	BUF_233
54	83	FF_257	2	74	BUF_22	BUF_76
54	83	FF_257	3	11	BUF_5	BUF_22
54	83	FF_257	4	5	BUF_0	BUF_5
54	83	FF_257	5	0	ROOT_CLK	BUF_0
55	84	FF_258	0	96	BUF_233	FF_258
55	84	FF_258	1	87	BUF_76	BUF_233
55	84	FF_258	2	74	BUF_22	BUF_76
55	84	FF_258	3	11	BUF_5	BUF_22
55	84	FF_258	4	5	BUF_0	BUF_5
55	84	FF_258	5	0	ROOT_CLK	BUF_0
56	86	FF_259	0	97	BUF_234	FF_259
56	86	FF_259	1	88	BUF_76	BUF_234
56	86	FF_259	2	74	BUF_22	BUF_76
56	86	FF_259	3	11	BUF_5	BUF_22
56	86	FF_259	4	5	BUF_0	BUF_5
56	86	FF_259	5	0	ROOT_CLK	BUF_0
57	89	FF_260	0	101	BUF_235	FF_260
57	89	FF_260	1	98	BUF_77	BUF_235
57	89	FF_260	2	75	BUF_22	BUF_77
57	89	FF_260	3	11	BUF_5	BUF_22
57	89	FF_260	4	5	BUF_0	BUF_5
57	89	FF_260	5	0	ROOT_CLK	BUF_0
58	90	FF_261	0	102	BUF_235	FF_261
58	90	FF_261	1	98	BUF_77	BUF_235
58	90	FF_261	2	75	BUF_22	BUF_77
58	90	FF_261	3	11	BUF_5	BUF_22
58	90	FF_261	4	5	BUF_0	BUF_5
58	90	FF_261	5	0	ROOT_CLK	BUF_0
59	91	FF_262	0	103	BUF_235	FF_262
59	91	FF_262	1	98	BUF_77	BUF_235
59	91	FF_262	2	75	BUF_22	BUF_77
59	91	FF_262	3	11	BUF_5	BUF_22
59	91	FF_262	4	5	BUF_0	BUF_5
59	91	FF_262	5	0	ROOT_CLK	BUF_0
60	92	FF_75	0	99	BUF_77	FF_75
60	92	FF_75	1	75	BUF_22	BUF_77
60	92	FF_75	2	11	BUF_5	BUF_22
60	92	FF_75	3	5	BUF_0	BUF_5
60	92	FF_75	4	0	ROOT_CLK	BUF_0
61	93	FF_76	0	100	BUF_77	FF_76
61	93	FF_76	1	75	BUF_22	BUF_77
61	93	FF_76	2	11	BUF_5	BUF_22
61	93	FF_76	3	5	BUF_0	BUF_5
61	93	FF_76	4	0	ROOT_CLK	BUF_0
62	96	FF_263	0	107	BUF_236	FF_263
62	96	FF_263	1	104	BUF_78	BUF_236
62	96	FF_263	2	76	BUF_22	BUF_78
62	96	FF_263	3	11	BUF_5	BUF_22
62	96	FF_263	4	5	BUF_0	BUF_5
62	96	FF_263	5	0	ROOT_CLK	BUF_0
63	97	FF_264	0	108	BUF_236	FF_264
63	97	FF_264	1	104	BUF_78	BUF_236
63	97	FF_264	2	76	BUF_22	BUF_78
63	97	FF_264	3	11	BUF_5	BUF_22
63	97	FF_264	4	5	BUF_0	BUF_5
63	97	FF_264	5	0	ROOT_CLK	BUF_0
64	99	FF_265	0	109	BUF_237	FF_265
64	99	FF_265	1	105	BUF_78	BUF_237
64	99	FF_265	2	76	BUF_22	BUF_78
64	99	FF_265	3	11	BUF_5	BUF_22
64	99	FF_265	4	5	BUF_0	BUF_5
64	99	FF_265	5	0	ROOT_CLK	BUF_0
65	100	FF_266	0	110	BUF_237	FF_266
65	100	FF_266	1	105	BUF_78	BUF_237
65	100	FF_266	2	76	BUF_22	BUF_78
65	100	FF_266	3	11	BUF_5	BUF_22
65	100	FF_266	4	5	BUF_0	BUF_5
65	100	FF_266	5	0	ROOT_CLK	BUF_0
66	101	FF_77	0	106	BUF_78	FF_77
66	101	FF_77	1	76	BUF_22	BUF_78
66	101	FF_77	2	11	BUF_5	BUF_22
66	101	FF_77	3	5	BUF_0	BUF_5
66	101	FF_77	4	0	ROOT_CLK	BUF_0
67	104	FF_267	0	115	BUF_238	FF_267
67	104	FF_267	1	111	BUF_79	BUF_238
67	104	FF_267	2	77	BUF_22	BUF_79
67	104	FF_267	3	11	BUF_5	BUF_22
67	104	FF_267	4	5	BUF_0	BUF_5
67	104	FF_267	5	0	ROOT_CLK	BUF_0
68	105	FF_268	0	116	BUF_238	FF_268
68	105	FF_268	1	111	BUF_79	BUF_238
68	105	FF_268	2	77	BUF_22	BUF_79
68	105	FF_268	3	11	BUF_5	BUF_22
68	105	FF_268	4	5	BUF_0	BUF_5
68	105	FF_268	5	0	ROOT_CLK	BUF_0
69	107	FF_269	0	117	BUF_239	FF_269
69	107	FF_269	1	112	BUF_79	BUF_239
69	107	FF_269	2	77	BUF_22	BUF_79
69	107	FF_269	3	11	BUF_5	BUF_22
69	107	FF_269	4	5	BUF_0	BUF_5
69	107	FF_269	5	0	ROOT_CLK	BUF_0
70	109	FF_270	0	118	BUF_240	FF_270
70	109	FF_270	1	113	BUF_79	BUF_240
70	109	FF_270	2	77	BUF_22	BUF_79
70	109	FF_270	3	11	BUF_5	BUF_22
70	109	FF_270	4	5	BUF_0	BUF_5
70	109	FF_270	5	0	ROOT_CLK	BUF_0
71	111	FF_271	0	119	BUF_241	FF_271
71	111	FF_271	1	114	BUF_79	BUF_241
71	111	FF_271	2	77	BUF_22	BUF_79
71	111	FF_271	3	11	BUF_5	BUF_22
71	111	FF_271	4	5	BUF_0	BUF_5
71	111	FF_271	5	0	ROOT_CLK	BUF_0
72	112	FF_272	0	120	BUF_241	FF_272
72	112	FF_272	1	114	BUF_79	BUF_241
72	112	FF_272	2	77	BUF_22	BUF_79
72	112	FF_272	3	11	BUF_5	BUF_22
72	112	FF_272	4	5	BUF_0	BUF_5
72	112	FF_272	5	0	ROOT_CLK	BUF_0
73	116	FF_273	0	127	BUF_242	FF_273
73	116	FF_273	1	122	BUF_80	BUF_242
73	116	FF_273	2	121	BUF_23	BUF_80
73	116	FF_273	3	12	BUF_5	BUF_23
73	116	FF_273	4	5	BUF_0	BUF_5
73	116	FF_273	5	0	ROOT_CLK	BUF_0
74	117	FF_274	0	128	BUF_242	FF_274
74	117	FF_274	1	122	BUF_80	BUF_242
74	117	FF_274	2	121	BUF_23	BUF_80
74	117	FF_274	3	12	BUF_5	BUF_23
74	117	FF_274	4	5	BUF_0	BUF_5
74	117	FF_274	5	0	ROOT_CLK	BUF_0
75	118	FF_275	0	129	BUF_242	FF_275
75	118	FF_275	1	122	BUF_80	BUF_242
75	118	FF_275	2	121	BUF_23	BUF_80
75	118	FF_275	3	12	BUF_5	BUF_23
75	118	FF_275	4	5	BUF_0	BUF_5
75	118	FF_275	5	0	ROOT_CLK	BUF_0
76	119	FF_276	0	130	BUF_242	FF_276
76	119	FF_276	1	122	BUF_80	BUF_242
76	119	FF_276	2	121	BUF_23	BUF_80
76	119	FF_276	3	12	BUF_5	BUF_23
76	119	FF_276	4	5	BUF_0	BUF_5
76	119	FF_276	5	0	ROOT_CLK	BUF_0
77	120	FF_277	0	131	BUF_242	FF_277
77	120	FF_277	1	122	BUF_80	BUF_242
77	120	FF_277	2	121	BUF_23	BUF_80
77	120	FF_277	3	12	BUF_5	BUF_23
77	120	FF_277	4	5	BUF_0	BUF_5
77	120	FF_277	5	0	ROOT_CLK	BUF_0
78	122	FF_278	0	132	BUF_243	FF_278
78	122	FF_278	1	123	BUF_80	BUF_243
78	122	FF_278	2	121	BUF_23	BUF_80
78	122	FF_278	3	12	BUF_5	BUF_23
78	122	FF_278	4	5	BUF_0	BUF_5
78	122	FF_278	5	0	ROOT_CLK	BUF_0
79	124	FF_279	0	133	BUF_244	FF_279
79	124	FF_279	1	124	BUF_80	BUF_244
79	124	FF_279	2	121	BUF_23	BUF_80
79	124	FF_279	3	12	BUF_5	BUF_23
79	124	FF_279	4	5	BUF_0	BUF_5
79	124	FF_279	5	0	ROOT_CLK	BUF_0
80	126	FF_280	0	134	BUF_245	FF_280
80	126	FF_280	1	125	BUF_80	BUF_245
80	126	FF_280	2	121	BUF_23	BUF_80
80	126	FF_280	3	12	BUF_5	BUF_23
80	126	FF_280	4	5	BUF_0	BUF_5
80	126	FF_280	5	0	ROOT_CLK	BUF_0
81	127	FF_281	0	135	BUF_245	FF_281
81	127	FF_281	1	125	BUF_80	BUF_245
81	127	FF_281	2	121	BUF_23	BUF_80
81	127	FF_281	3	12	BUF_5	BUF_23
81	127	FF_281	4	5	BUF_0	BUF_5
81	127	FF_281	5	0	ROOT_CLK	BUF_0
82	128	FF_282	0	136	BUF_245	FF_282
82	128	FF_282	1	125	BUF_80	BUF_245
82	128	FF_282	2	121	BUF_23	BUF_80
82	128	FF_282	3	12	BUF_5	BUF_23
82	128	FF_282	4	5	BUF_0	BUF_5
82	128	FF_282	5	0	ROOT_CLK	BUF_0
83	129	FF_283	0	137	BUF_245	FF_283
83	129	FF_283	1	125	BUF_80	BUF_245
83	129	FF_283	2	121	BUF_23	BUF_80
83	129	FF_283	3	12	BUF_5	BUF_23
83	129	FF_283	4	5	BUF_0	BUF_5
83	129	FF_283	5	0	ROOT_CLK	BUF_0
84	130	FF_284	0	138	BUF_245	FF_284
84	130	FF_284	1	125	BUF_80	BUF_245
84	130	FF_284	2	121	BUF_23	BUF_80
84	130	FF_284	3	12	BUF_5	BUF_23
84	130	FF_284	4	5	BUF_0	BUF_5
84	130	FF_284	5	0	ROOT_CLK	BUF_0
85	132	FF_285	0	139	BUF_246	FF_285
85	132	FF_285	1	126	BUF_80	BUF_246
85	132	FF_285	2	121	BUF_23	BUF_80
85	132	FF_285	3	12	BUF_5	BUF_23
85	132	FF_285	4	5	BUF_0	BUF_5
85	132	FF_285	5	0	ROOT_CLK	BUF_0
86	133	FF_286	0	140	BUF_246	FF_286
86	133	FF_286	1	126	BUF_80	BUF_246
86	133	FF_286	2	121	BUF_23	BUF_80
86	133	FF_286	3	12	BUF_5	BUF_23
86	133	FF_286	4	5	BUF_0	BUF_5
86	133	FF_286	5	0	ROOT_CLK	BUF_0
87	134	FF_287	0	141	BUF_246	FF_287
87	134	FF_287	1	126	BUF_80	BUF_246
87	134	FF_287	2	121	BUF_23	BUF_80
87	134	FF_287	3	12	BUF_5	BUF_23
87	134	FF_287	4	5	BUF_0	BUF_5
87	134	FF_287	5	0	ROOT_CLK	BUF_0
88	135	FF_288	0	142	BUF_246	FF_288
88	135	FF_288	1	126	BUF_80	BUF_246
88	135	FF_288	2	121	BUF_23	BUF_80
88	135	FF_288	3	12	BUF_5	BUF_23
88	135	FF_288	4	5	BUF_0	BUF_5
88	135	FF_288	5	0	ROOT_CLK	BUF_0
89	136	FF_289	0	143	BUF_246	FF_289
89	136	FF_289	1	126	BUF_80	BUF_246
89	136	FF_289	2	121	BUF_23	BUF_80
89	136	FF_289	3	12	BUF_5	BUF_23
89	136	FF_289	4	5	BUF_0	BUF_5
89	136	FF_289	5	0	ROOT_CLK	BUF_0
90	137	FF_4	0	13	BUF_5	FF_4
90	137	FF_4	1	5	BUF_0	BUF_5
90	137	FF_4	2	0	ROOT_CLK	BUF_0
91	142	FF_290	0	158	BUF_247	FF_290
91	142	FF_290	1	153	BUF_81	BUF_247
91	142	FF_290	2	148	BUF_24	BUF_81
91	142	FF_290	3	144	BUF_6	BUF_24
91	142	FF_290	4	6	BUF_0	BUF_6
91	142	FF_290	5	0	ROOT_CLK	BUF_0
92	143	FF_291	0	159	BUF_247	FF_291
92	143	FF_291	1	153	BUF_81	BUF_247
92	143	FF_291	2	148	BUF_24	BUF_81
92	143	FF_291	3	144	BUF_6	BUF_24
92	143	FF_291	4	6	BUF_0	BUF_6
92	143	FF_291	5	0	ROOT_CLK	BUF_0
93	144	FF_292	0	160	BUF_247	FF_292
93	144	FF_292	1	153	BUF_81	BUF_247
93	144	FF_292	2	148	BUF_24	BUF_81
93	144	FF_292	3	144	BUF_6	BUF_24
93	144	FF_292	4	6	BUF_0	BUF_6
93	144	FF_292	5	0	ROOT_CLK	BUF_0
94	145	FF_293	0	161	BUF_247	FF_293
